"","Location","Tournament","Date","Series","Court","Surface","Round","BestOf","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Comment","Result","RankNadal","RankRival","RivalName","PartidosUlt6Meses","PartidosUlt3Meses","PartidosUltMes","WRUlt6Meses","WRUlt3Meses","WRUltMes","PartidosRivalUlt6Meses","PartidosRivalUlt3Meses","PartidosRivalUltMes","WRRivalUlt6Meses","WRRivalUlt3Meses","WRRivalUltMes","SetsNadal","SetsRival","SetsGanadosUltPartido","SetsPerdidosUltPartido","ResultUltPartido","RoundUltPartido","H2HPartidos","H2HGanados","H2HWR"
"11","Buenos Aires","ATP Buenos Aires 2005",2005-02-12,"International","Outdoor","Clay","Quarterfinals","3",0,6,6,0,6,1,NA,NA,NA,NA,"Completed","Lose",48,8,"Gaudio G.",11,11,7,0.636363636363636,0.636363636363636,0.714285714285714,13,13,12,0.846153846153846,0.846153846153846,0.916666666666667,1,2,2,0,"Win","2nd Round",0,0,NA
"12","Costa Do Sauipe","Brasil Open",2005-02-16,"International","Outdoor","Clay","1st Round","3",7,6,6,3,NA,NA,NA,NA,NA,NA,"Completed","Win",48,55,"Acasuso J.",12,12,8,0.666666666666667,0.666666666666667,0.75,12,12,9,0.583333333333333,0.583333333333333,0.555555555555556,2,0,1,2,"Lose","Quarterfinals",0,0,NA
"13","Costa Do Sauipe","Brasil Open",2005-02-17,"International","Outdoor","Clay","2nd Round","3",6,3,6,3,NA,NA,NA,NA,NA,NA,"Completed","Win",48,86,"Calatrava A.",14,14,9,0.714285714285714,0.714285714285714,0.777777777777778,5,5,4,0.2,0.2,0.25,2,0,2,0,"Win","1st Round",0,0,NA
"14","Costa Do Sauipe","Brasil Open",2005-02-17,"International","Outdoor","Clay","Quarterfinals","3",6,2,6,7,6,4,NA,NA,NA,NA,"Completed","Win",48,60,"Calleri A.",14,14,9,0.714285714285714,0.714285714285714,0.777777777777778,12,12,8,0.5,0.5,0.5,2,1,2,0,"Win","2nd Round",1,1,1
"15","Costa Do Sauipe","Brasil Open",2005-02-19,"International","Outdoor","Clay","Semifinals","3",2,6,6,2,6,4,NA,NA,NA,NA,"Completed","Win",48,56,"Mello R.",15,15,9,0.733333333333333,0.733333333333333,0.777777777777778,10,10,6,0.6,0.6,0.666666666666667,2,1,2,1,"Win","Quarterfinals",0,0,NA
"16","Costa Do Sauipe","Brasil Open",2005-02-20,"International","Outdoor","Clay","The Final","3",6,0,6,7,6,1,NA,NA,NA,NA,"Completed","Win",48,61,"Martin A.",16,16,10,0.75,0.75,0.8,13,13,9,0.615384615384615,0.615384615384615,0.777777777777778,2,1,2,1,"Win","Semifinals",0,0,NA
"17","Acapulco","Abierto Mexicano",2005-02-22,"International Gold","Outdoor","Clay","1st Round","3",6,4,6,4,NA,NA,NA,NA,NA,NA,"Completed","Win",39,81,"Calatrava A.",17,17,10,0.764705882352941,0.764705882352941,0.8,6,6,5,0.166666666666667,0.166666666666667,0.2,2,0,2,1,"Win","The Final",1,1,1
"18","Acapulco","Abierto Mexicano",2005-02-23,"International Gold","Outdoor","Clay","2nd Round","3",7,6,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",39,77,"Ventura S.",18,18,10,0.777777777777778,0.777777777777778,0.9,12,12,8,0.416666666666667,0.416666666666667,0.5,2,0,2,0,"Win","1st Round",0,0,NA
"19","Acapulco","Abierto Mexicano",2005-02-25,"International Gold","Outdoor","Clay","Quarterfinals","3",7,5,6,3,NA,NA,NA,NA,NA,NA,"Completed","Win",39,12,"Canas G.",19,19,11,0.789473684210526,0.789473684210526,0.909090909090909,9,9,5,0.666666666666667,0.666666666666667,0.6,2,0,2,0,"Win","2nd Round",0,0,NA
"20","Acapulco","Abierto Mexicano",2005-02-26,"International Gold","Outdoor","Clay","Semifinals","3",6,4,6,1,NA,NA,NA,NA,NA,NA,"Completed","Win",39,74,"Puerta M.",20,20,12,0.8,0.8,0.916666666666667,12,12,12,0.666666666666667,0.666666666666667,0.666666666666667,2,0,2,0,"Win","Quarterfinals",0,0,NA
"21","Acapulco","Abierto Mexicano",2005-02-27,"International Gold","Outdoor","Clay","The Final","3",6,1,6,0,NA,NA,NA,NA,NA,NA,"Completed","Win",39,95,"Montanes A.",21,21,13,0.80952380952381,0.80952380952381,0.923076923076923,9,9,8,0.444444444444444,0.444444444444444,0.5,2,0,2,0,"Win","Semifinals",0,0,NA
"22","Miami","NASDAQ-100 Open",2005-03-25,"Masters","Outdoor","Hard","2nd Round","3",6,4,7,6,NA,NA,NA,NA,NA,NA,"Completed","Win",31,39,"Schuettler R.",22,22,4,0.818181818181818,0.818181818181818,1,14,14,5,0.428571428571429,0.428571428571429,0.4,2,0,2,0,"Win","The Final",0,0,NA
"23","Miami","NASDAQ-100 Open",2005-03-27,"Masters","Outdoor","Hard","3rd Round","3",6,2,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",31,45,"Verdasco F.",23,23,4,0.826086956521739,0.826086956521739,1,15,15,5,0.466666666666667,0.466666666666667,0.6,2,0,2,0,"Win","2nd Round",1,1,1
"24","Miami","NASDAQ-100 Open",2005-03-29,"Masters","Outdoor","Hard","4th Round","3",6,4,6,7,6,3,NA,NA,NA,NA,"Completed","Win",31,14,"Ljubicic I.",24,24,3,0.833333333333333,0.833333333333333,1,31,31,6,0.741935483870968,0.741935483870968,0.666666666666667,2,1,2,0,"Win","3rd Round",1,0,0
"25","Miami","NASDAQ-100 Open",2005-03-31,"Masters","Outdoor","Hard","Quarterfinals","3",6,2,6,4,NA,NA,NA,NA,NA,NA,"Completed","Win",31,27,"Johansson T.",25,25,4,0.84,0.84,1,20,20,5,0.6,0.6,0.6,2,0,2,1,"Win","4th Round",0,0,NA
"26","Miami","NASDAQ-100 Open",2005-04-01,"Masters","Outdoor","Hard","Semifinals","3",6,4,6,3,NA,NA,NA,NA,NA,NA,"Completed","Win",31,44,"Ferrer D.",26,26,5,0.846153846153846,0.846153846153846,1,20,20,9,0.55,0.55,0.777777777777778,2,0,2,0,"Win","Quarterfinals",0,0,NA
"27","Miami","NASDAQ-100 Open",2005-04-03,"Masters","Outdoor","Hard","The Final","5",2,6,6,7,7,6,6,3,6,1,"Completed","Lose",31,1,"Federer R.",27,27,6,0.814814814814815,0.814814814814815,0.833333333333333,33,32,12,0.96969696969697,0.96875,1,2,3,2,0,"Win","Semifinals",0,0,NA
"28","Valencia","Open de Tenis Comunidad Valenciana",2005-04-06,"International","Outdoor","Clay","1st Round","3",6,2,6,1,NA,NA,NA,NA,NA,NA,"Completed","Win",17,68,"Ferrero J.C.",28,25,7,0.821428571428571,0.84,0.857142857142857,16,16,7,0.5,0.5,0.571428571428571,2,0,2,3,"Lose","The Final",0,0,NA
"29","Valencia","Open de Tenis Comunidad Valenciana",2005-04-07,"International","Outdoor","Clay","2nd Round","3",6,1,6,4,NA,NA,NA,NA,NA,NA,"Completed","Win",17,80,"Garcia-Lopez G.",29,26,8,0.827586206896552,0.846153846153846,0.875,15,12,2,0.466666666666667,0.333333333333333,0.5,2,0,2,0,"Win","1st Round",0,0,NA
"30","Valencia","Open de Tenis Comunidad Valenciana",2005-04-08,"International","Outdoor","Clay","Quarterfinals","3",7,5,6,2,NA,NA,NA,NA,NA,NA,"Completed","Lose",17,47,"Andreev I.",30,27,9,0.8,0.814814814814815,0.777777777777778,18,17,7,0.5,0.529411764705882,0.714285714285714,0,2,2,0,"Win","2nd Round",0,0,NA
"31","Monte Carlo","Monte Carlo Masters",2005-04-11,"Masters","Outdoor","Clay","1st Round","3",6,3,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",17,106,"Monfils G.",31,27,10,0.806451612903226,0.851851851851852,0.8,14,12,5,0.5,0.5,0.6,2,0,0,2,"Lose","Quarterfinals",0,0,NA
"32","Monte Carlo","Monte Carlo Masters",2005-04-13,"Masters","Outdoor","Clay","2nd Round","3",6,0,6,3,NA,NA,NA,NA,NA,NA,"Completed","Win",17,38,"Malisse X.",32,28,11,0.8125,0.857142857142857,0.818181818181818,18,15,3,0.555555555555556,0.6,0.333333333333333,2,0,2,0,"Win","1st Round",0,0,NA
"33","Monte Carlo","Monte Carlo Masters",2005-04-14,"Masters","Outdoor","Clay","3rd Round","3",6,1,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",17,42,"Rochus O.",33,29,12,0.818181818181818,0.862068965517241,0.833333333333333,24,16,6,0.625,0.5,0.5,2,0,2,0,"Win","2nd Round",0,0,NA
"34","Monte Carlo","Monte Carlo Masters",2005-04-15,"Masters","Outdoor","Clay","Quarterfinals","3",6,3,6,0,NA,NA,NA,NA,NA,NA,"Completed","Win",17,6,"Gaudio G.",34,30,13,0.823529411764706,0.866666666666667,0.846153846153846,24,23,7,0.75,0.782608695652174,0.714285714285714,2,0,2,0,"Win","3rd Round",1,0,0
"35","Monte Carlo","Monte Carlo Masters",2005-04-16,"Masters","Outdoor","Clay","Semifinals","3",6,7,6,4,6,3,NA,NA,NA,NA,"Completed","Win",17,101,"Gasquet R.",35,31,14,0.828571428571429,0.870967741935484,0.857142857142857,5,5,5,0.8,0.8,0.8,2,1,2,0,"Win","Quarterfinals",0,0,NA
"36","Monte Carlo","Monte Carlo Masters",2005-04-17,"Masters","Outdoor","Clay","The Final","5",6,3,6,1,0,6,7,5,NA,NA,"Completed","Win",17,9,"Coria G.",36,32,15,0.833333333333333,0.875,0.866666666666667,21,18,8,0.666666666666667,0.666666666666667,0.75,3,1,2,1,"Win","Semifinals",0,0,NA
"37","Barcelona","Open Seat Godo",2005-04-20,"International Gold","Outdoor","Clay","2nd Round","3",6,0,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",11,64,"Muller G.",37,31,16,0.837837837837838,0.870967741935484,0.875,14,11,6,0.428571428571429,0.545454545454545,0.5,2,0,3,1,"Win","The Final",0,0,NA
"38","Barcelona","Open Seat Godo",2005-04-21,"International Gold","Outdoor","Clay","3rd Round","3",6,1,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",11,25,"Hrbaty D.",38,32,17,0.842105263157895,0.875,0.882352941176471,20,15,8,0.55,0.466666666666667,0.625,2,0,2,0,"Win","2nd Round",1,0,0
"39","Barcelona","Open Seat Godo",2005-04-22,"International Gold","Outdoor","Clay","Quarterfinals","3",6,2,3,0,NA,NA,NA,NA,NA,NA,"Retired","Win",11,99,"Calleri A.",39,32,18,0.846153846153846,0.875,0.888888888888889,24,19,5,0.541666666666667,0.578947368421053,0.6,1,0,2,0,"Win","3rd Round",2,2,1
"40","Barcelona","Open Seat Godo",2005-04-23,"International Gold","Outdoor","Clay","Semifinals","3",7,5,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",11,22,"Stepanek R.",40,33,19,0.85,0.878787878787879,0.894736842105263,30,21,10,0.633333333333333,0.619047619047619,0.7,2,0,1,0,"Win","Quarterfinals",0,0,NA
"41","Barcelona","Open Seat Godo",2005-04-24,"International Gold","Outdoor","Clay","The Final","5",6,1,7,6,6,3,NA,NA,NA,NA,"Completed","Win",11,58,"Ferrero J.C.",41,33,19,0.853658536585366,0.909090909090909,0.894736842105263,27,23,14,0.62962962962963,0.652173913043478,0.714285714285714,3,0,2,0,"Win","Semifinals",1,1,1
"42","Rome","Telecom Italia Masters Roma",2005-05-03,"Masters","Outdoor","Clay","1st Round","3",6,0,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",7,26,"Youzhny M.",42,34,15,0.857142857142857,0.911764705882353,0.933333333333333,9,6,1,0.333333333333333,0.333333333333333,0,2,0,3,0,"Win","The Final",2,2,1
"43","Rome","Telecom Italia Masters Roma",2005-05-04,"Masters","Outdoor","Clay","2nd Round","3",6,1,6,1,NA,NA,NA,NA,NA,NA,"Completed","Win",7,85,"Hanescu V.",43,35,16,0.86046511627907,0.914285714285714,0.9375,13,10,5,0.384615384615385,0.4,0.6,2,0,2,0,"Win","1st Round",0,0,NA
"44","Rome","Telecom Italia Masters Roma",2005-05-05,"Masters","Outdoor","Clay","3rd Round","3",6,3,6,1,NA,NA,NA,NA,NA,NA,"Completed","Win",7,13,"Canas G.",44,36,17,0.863636363636364,0.916666666666667,0.941176470588235,22,18,7,0.636363636363636,0.611111111111111,0.571428571428571,2,0,2,0,"Win","2nd Round",1,1,1
"45","Rome","Telecom Italia Masters Roma",2005-05-06,"Masters","Outdoor","Clay","Quarterfinals","3",5,7,6,1,6,1,NA,NA,NA,NA,"Completed","Win",7,17,"Stepanek R.",45,37,17,0.866666666666667,0.918918918918919,0.941176470588235,34,21,11,0.647058823529412,0.571428571428571,0.727272727272727,2,1,2,0,"Win","3rd Round",1,1,1
"46","Rome","Telecom Italia Masters Roma",2005-05-07,"Masters","Outdoor","Clay","Semifinals","3",4,6,6,4,7,5,NA,NA,NA,NA,"Completed","Win",7,25,"Ferrer D.",46,38,17,0.869565217391304,0.921052631578947,0.941176470588235,37,30,15,0.648648648648649,0.7,0.733333333333333,2,1,2,1,"Win","Quarterfinals",1,1,1
"47","Rome","Telecom Italia Masters Roma",2005-05-08,"Masters","Outdoor","Clay","The Final","5",6,4,3,6,6,3,4,6,7,6,"Completed","Win",7,11,"Coria G.",47,39,17,0.872340425531915,0.923076923076923,1,29,22,14,0.689655172413793,0.681818181818182,0.785714285714286,3,2,2,1,"Win","Semifinals",1,1,1
"48","Paris","French Open",2005-05-23,"Grand Slam","Outdoor","Clay","1st Round","5",6,1,7,6,6,1,NA,NA,NA,NA,"Completed","Win",5,96,"Burgsmuller L.",48,31,8,0.875,0.935483870967742,1,12,6,3,0.166666666666667,0,0,3,0,3,2,"Win","The Final",0,0,NA
"49","Paris","French Open",2005-05-25,"Grand Slam","Outdoor","Clay","2nd Round","5",6,2,6,2,6,4,NA,NA,NA,NA,"Completed","Win",5,46,"Malisse X.",49,31,8,0.877551020408163,0.935483870967742,1,22,8,2,0.545454545454545,0.375,0.5,3,0,3,0,"Win","1st Round",1,1,1
"50","Paris","French Open",2005-05-27,"Grand Slam","Outdoor","Clay","3rd Round","5",6,4,6,3,6,2,NA,NA,NA,NA,"Completed","Win",5,31,"Gasquet R.",50,30,9,0.88,0.933333333333333,1,16,16,11,0.75,0.75,0.727272727272727,3,0,3,0,"Win","2nd Round",1,1,1
"51","Paris","French Open",2005-05-30,"Grand Slam","Outdoor","Clay","4th Round","5",6,4,3,6,6,0,6,3,NA,NA,"Completed","Win",5,24,"Grosjean S.",51,30,10,0.882352941176471,0.933333333333333,1,23,17,9,0.608695652173913,0.647058823529412,0.666666666666667,3,1,3,0,"Win","3rd Round",0,0,NA
"52","Paris","French Open",2005-05-31,"Grand Slam","Outdoor","Clay","Quarterfinals","5",7,5,6,2,6,0,NA,NA,NA,NA,"Completed","Win",5,21,"Ferrer D.",52,31,11,0.884615384615385,0.935483870967742,1,43,32,11,0.651162790697674,0.75,0.727272727272727,3,0,3,1,"Win","4th Round",2,2,1
"53","Paris","French Open",2005-06-03,"Grand Slam","Outdoor","Clay","Semifinals","5",6,3,4,6,6,4,6,3,NA,NA,"Completed","Win",5,1,"Federer R.",53,32,10,0.886792452830189,0.9375,1,49,28,12,0.938775510204082,0.928571428571429,0.916666666666667,3,1,3,0,"Win","Quarterfinals",1,0,0
"54","Paris","French Open",2005-06-05,"Grand Slam","Outdoor","Clay","The Final","5",6,7,6,3,6,1,7,5,NA,NA,"Completed","Win",5,37,"Puerta M.",54,33,9,0.888888888888889,0.939393939393939,1,32,20,11,0.71875,0.75,0.727272727272727,3,1,3,1,"Win","Semifinals",1,1,1
"55","Halle","Gerry Weber Open",2005-06-08,"International","Outdoor","Grass","1st Round","3",4,6,7,5,6,3,NA,NA,NA,NA,"Completed","Lose",3,147,"Waske A.",55,34,8,0.872727272727273,0.911764705882353,0.875,3,3,1,0.333333333333333,0.333333333333333,1,1,2,3,1,"Win","The Final",0,0,NA
"56","London","Wimbledon",2005-06-21,"Grand Slam","Outdoor","Grass","1st Round","5",6,4,6,3,6,0,NA,NA,NA,NA,"Completed","Win",3,39,"Spadea V.",56,35,9,0.875,0.914285714285714,0.888888888888889,24,7,3,0.5,0.285714285714286,0.333333333333333,3,0,1,2,"Lose","1st Round",0,0,NA
"57","London","Wimbledon",2005-06-23,"Grand Slam","Outdoor","Grass","2nd Round","5",6,4,4,6,6,3,6,4,NA,NA,"Completed","Lose",3,69,"Muller G.",57,35,9,0.859649122807018,0.885714285714286,0.777777777777778,23,14,5,0.434782608695652,0.5,0.6,1,3,3,0,"Win","1st Round",1,1,1
"58","Bastad","Swedish Open",2005-07-05,"International","Outdoor","Clay","1st Round","3",6,1,6,1,NA,NA,NA,NA,NA,NA,"Completed","Win",3,66,"Monaco J.",55,30,4,0.872727272727273,0.9,0.5,28,16,2,0.428571428571429,0.5,0,2,0,1,3,"Lose","2nd Round",0,0,NA
"59","Bastad","Swedish Open",2005-07-07,"International","Outdoor","Clay","2nd Round","3",6,2,6,4,NA,NA,NA,NA,NA,NA,"Completed","Win",3,50,"Martin A.",56,29,5,0.875,0.931034482758621,0.6,37,18,4,0.540540540540541,0.444444444444444,0.25,2,0,2,0,"Win","1st Round",1,1,1
"60","Bastad","Swedish Open",2005-07-08,"International","Outdoor","Clay","Quarterfinals","3",6,3,6,3,NA,NA,NA,NA,NA,NA,"Completed","Win",3,31,"Ferrero J.C.",57,30,5,0.87719298245614,0.933333333333333,0.8,45,29,9,0.644444444444444,0.724137931034483,0.666666666666667,2,0,2,0,"Win","2nd Round",2,2,1
"61","Bastad","Swedish Open",2005-07-09,"International","Outdoor","Clay","Semifinals","3",6,3,6,3,NA,NA,NA,NA,NA,NA,"Completed","Win",3,20,"Robredo T.",58,31,6,0.879310344827586,0.935483870967742,0.833333333333333,35,22,7,0.628571428571429,0.636363636363636,0.571428571428571,2,0,2,0,"Win","Quarterfinals",0,0,NA
"62","Bastad","Swedish Open",2005-07-10,"International","Outdoor","Clay","The Final","3",2,6,6,2,6,4,NA,NA,NA,NA,"Completed","Win",3,42,"Berdych T.",58,31,7,0.896551724137931,0.935483870967742,0.857142857142857,30,19,10,0.5,0.526315789473684,0.7,2,1,2,0,"Win","Semifinals",0,0,NA
"63","Stuttgart","Mercedes Cup",2005-07-20,"International Gold","Outdoor","Clay","2nd Round","3",6,1,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",3,167,"Armando H.",57,25,8,0.894736842105263,0.92,0.875,5,4,3,0.2,0.25,0.333333333333333,2,0,2,1,"Win","The Final",0,0,NA
"64","Stuttgart","Mercedes Cup",2005-07-21,"International Gold","Outdoor","Clay","3rd Round","3",6,3,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",3,58,"Verdasco F.",57,25,8,0.894736842105263,0.92,0.875,28,14,6,0.464285714285714,0.5,0.5,2,0,2,0,"Win","2nd Round",2,2,1
"65","Stuttgart","Mercedes Cup",2005-07-22,"International Gold","Outdoor","Clay","Quarterfinals","3",6,2,6,1,NA,NA,NA,NA,NA,NA,"Completed","Win",3,57,"Zib T.",58,25,9,0.896551724137931,0.92,0.888888888888889,27,14,5,0.444444444444444,0.428571428571429,0.6,2,0,2,0,"Win","3rd Round",0,0,NA
"66","Stuttgart","Mercedes Cup",2005-07-23,"International Gold","Outdoor","Clay","Semifinals","3",6,2,7,5,NA,NA,NA,NA,NA,NA,"Completed","Win",3,66,"Nieminen J.",58,25,9,0.913793103448276,0.92,1,21,13,6,0.571428571428571,0.615384615384615,0.666666666666667,2,0,2,0,"Win","Quarterfinals",0,0,NA
"67","Stuttgart","Mercedes Cup",2005-07-24,"International Gold","Outdoor","Clay","The Final","5",6,3,6,3,6,4,NA,NA,NA,NA,"Completed","Win",3,13,"Gaudio G.",59,26,10,0.915254237288136,0.923076923076923,1,48,24,10,0.8125,0.833333333333333,0.9,3,0,2,0,"Win","Semifinals",2,1,0.5
"68","Montreal","Rogers Cup",2005-08-09,"Masters","Outdoor","Hard","1st Round","3",6,3,6,7,6,3,NA,NA,NA,NA,"Completed","Win",2,32,"Moya C.",58,21,6,0.913793103448276,0.904761904761905,1,31,14,8,0.580645161290323,0.642857142857143,0.625,2,1,3,0,"Win","The Final",0,0,NA
"69","Montreal","Rogers Cup",2005-08-11,"Masters","Outdoor","Hard","2nd Round","3",6,1,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",2,56,"Mello R.",59,23,8,0.932203389830508,0.91304347826087,1,22,10,6,0.363636363636364,0.3,0.5,2,0,2,1,"Win","1st Round",1,1,1
"70","Montreal","Rogers Cup",2005-08-11,"Masters","Outdoor","Hard","3rd Round","3",6,4,6,4,NA,NA,NA,NA,NA,NA,"Completed","Win",2,34,"Grosjean S.",59,23,8,0.932203389830508,0.91304347826087,1,32,18,6,0.625,0.666666666666667,0.5,2,0,2,0,"Win","2nd Round",1,1,1
"71","Montreal","Rogers Cup",2005-08-12,"Masters","Outdoor","Hard","Quarterfinals","3",6,3,6,1,NA,NA,NA,NA,NA,NA,"Completed","Win",2,11,"Puerta M.",60,24,9,0.933333333333333,0.916666666666667,1,36,20,10,0.666666666666667,0.65,0.6,2,0,2,0,"Win","3rd Round",2,2,1
"72","Montreal","Rogers Cup",2005-08-14,"Masters","Outdoor","Hard","Semifinals","3",6,4,7,5,NA,NA,NA,NA,NA,NA,"Completed","Win",2,63,"Mathieu P.H.",62,26,11,0.935483870967742,0.923076923076923,1,27,15,8,0.555555555555556,0.6,0.625,2,0,2,0,"Win","Quarterfinals",0,0,NA
"73","Montreal","Rogers Cup",2005-08-14,"Masters","Outdoor","Hard","The Final","3",6,3,4,6,6,2,NA,NA,NA,NA,"Completed","Win",2,7,"Agassi A.",62,26,11,0.935483870967742,0.923076923076923,1,34,12,11,0.764705882352941,0.833333333333333,0.909090909090909,2,1,2,0,"Win","Semifinals",0,0,NA
"74","Cincinnati","Western & Southern Financial Group Masters",2005-08-17,"Masters","Outdoor","Hard","1st Round","3",6,7,6,2,7,6,NA,NA,NA,NA,"Completed","Lose",2,36,"Berdych T.",60,27,12,0.916666666666667,0.888888888888889,0.916666666666667,36,24,11,0.555555555555556,0.625,0.636363636363636,1,2,2,1,"Win","The Final",1,1,1
"75","New York","US Open",2005-08-29,"Grand Slam","Outdoor","Hard","1st Round","5",6,3,6,3,6,4,NA,NA,NA,NA,"Completed","Win",2,132,"Reynolds B.",54,23,8,0.907407407407407,0.869565217391304,0.875,8,7,6,0.375,0.428571428571429,0.5,3,0,1,2,"Lose","1st Round",1,1,1
"76","New York","US Open",2005-09-01,"Grand Slam","Outdoor","Hard","2nd Round","5",6,4,7,5,6,4,NA,NA,NA,NA,"Completed","Win",2,352,"Jenkins S.",55,23,9,0.909090909090909,0.869565217391304,0.888888888888889,4,4,4,0.5,0.5,0.5,3,0,3,0,"Win","1st Round",0,0,NA
"77","New York","US Open",2005-09-03,"Grand Slam","Outdoor","Hard","3rd Round","5",6,4,4,6,6,3,6,1,NA,NA,"Completed","Lose",2,49,"Blake J.",56,23,10,0.892857142857143,0.826086956521739,0.8,34,24,14,0.676470588235294,0.708333333333333,0.857142857142857,1,3,3,0,"Win","2nd Round",0,0,NA
"78","Beijing","China Open",2005-09-14,"International","Outdoor","Hard","1st Round","3",6,2,6,4,NA,NA,NA,NA,NA,NA,"Completed","Win",2,100,"Wang Y.T.",57,23,5,0.894736842105263,0.869565217391304,0.6,4,2,1,0.25,0,0,2,0,1,3,"Lose","3rd Round",0,0,NA
"79","Beijing","China Open",2005-09-16,"International","Outdoor","Hard","2nd Round","3",5,7,6,4,6,4,NA,NA,NA,NA,"Completed","Win",2,95,"Gimelstob J.",59,25,6,0.898305084745763,0.88,0.833333333333333,8,8,5,0.5,0.5,0.4,2,1,2,0,"Win","1st Round",0,0,NA
"80","Beijing","China Open",2005-09-16,"International","Outdoor","Hard","Quarterfinals","3",7,6,6,2,NA,NA,NA,NA,NA,NA,"Completed","Win",2,115,"Wessels P.",59,25,6,0.898305084745763,0.88,0.833333333333333,12,6,5,0.416666666666667,0.5,0.6,2,0,2,1,"Win","2nd Round",0,0,NA
